sample,calendar_date
740,2020-07-16
741,2020-07-24
742,2020-07-18
743,2020-07-29
744,2020-07-28
745,2020-07-24
746,2020-07-25
747,2020-07-25
748,2020-07-22
749,2020-07-29
750,2020-07-18
751,2020-07-20
752,2020-07-29
753,2020-07-12
754,2020-07-10
755,2020-07-24
756,2020-07-29
757,2020-07-29
758,2020-07-13
759,2020-07-22
760,2020-07-17
761,2020-07-28
762,2020-07-23
763,2020-07-23
764,2020-07-29
765,2020-07-04
766,2020-07-19
767,2020-07-14
768,2020-06-24
769,2020-07-29
770,2020-07-26
771,2020-07-29
772,2020-07-28
773,2020-07-22
774,2020-07-25
775,2020-07-25
776,2020-07-25
777,2020-07-28
778,2020-07-17
779,2020-07-29
780,2020-07-17
781,2020-07-26
782,2020-07-25
783,2020-07-24
784,2020-07-28
785,2020-07-20
786,2020-07-14
787,2020-07-25
788,2020-07-29
789,2020-07-27
790,2020-07-20
791,2020-07-20
792,2020-07-22
793,2020-07-20
794,2020-07-15
795,2020-07-01
796,2020-07-29
797,2020-07-09
798,2020-07-06
799,2020-07-25
800,2020-07-08
801,2020-07-29
802,2020-07-08
803,2020-07-20
804,2020-07-23
805,2020-07-24
806,2020-07-28
807,2020-07-29
808,2020-07-08
809,2020-07-28
810,2020-07-22
811,2020-07-26
812,2020-07-20
813,2020-07-28
814,2020-07-27
815,2020-07-29
816,2020-07-20
817,2020-07-27
818,2020-07-27
819,2020-07-29
820,2020-07-28
821,2020-07-28
822,2020-07-27
823,2020-07-17
824,2020-07-16
825,2020-07-18
826,2020-07-28
827,2020-07-29
828,2020-07-27
829,2020-07-27
830,2020-07-10
831,2020-07-28
832,2020-07-07
833,2020-07-24
834,2020-07-18
835,2020-07-25
836,2020-07-18
837,2020-07-14
838,2020-07-29
839,2020-07-26
840,2020-07-28
841,2020-07-28
842,2020-07-29
843,2020-07-26
844,2020-07-26
845,2020-07-26
846,2020-07-23
847,2020-07-28
848,2020-07-22
849,2020-07-28
850,2020-07-15
851,2020-07-27
852,2020-07-21
853,2020-07-26
854,2020-07-13
855,2020-06-28
856,2020-07-29
857,2020-07-19
858,2020-07-12
859,2020-07-27
860,2020-07-28
861,2020-07-29
862,2020-07-11
863,2020-07-29
864,2020-07-19
865,2020-07-17
866,2020-07-26
867,2020-07-18
868,2020-07-25
869,2020-07-28
870,2020-07-21
871,2020-07-24
872,2020-07-29
873,2020-07-29
874,2020-07-25
875,2020-07-28
876,2020-07-27
877,2020-07-22
878,2020-07-28
879,2020-07-26
880,2020-07-20
881,2020-07-29
882,2020-07-25
883,2020-07-29
884,2020-07-20
885,2020-06-28
886,2020-07-06
887,2020-07-28
888,2020-07-21
889,2020-07-13
890,2020-07-11
891,2020-07-10
892,2020-07-04
893,2020-07-14
894,2020-07-26
895,2020-07-19
896,2020-07-12
897,2020-07-26
898,2020-07-19
899,2020-07-18
900,2020-07-12
901,2020-07-14
902,2020-07-01
903,2020-07-29
904,2020-07-28
905,2020-07-17
906,2020-07-24
907,2020-07-28
908,2020-07-29
909,2020-07-28
910,2020-07-26
911,2020-07-18
912,2020-07-21
913,2020-07-21
914,2020-07-28
915,2020-07-23
916,2020-07-29
917,2020-07-28
918,2020-07-23
919,2020-07-23
920,2020-07-27
921,2020-07-23
922,2020-07-20
923,2020-07-19
924,2020-07-18
925,2020-07-25
926,2020-07-16
927,2020-07-16
928,2020-07-28
929,2020-07-27
930,2020-07-23
931,2020-07-28
932,2020-07-28
933,2020-07-28
934,2020-07-26
935,2020-07-29
936,2020-07-23
937,2020-07-25
938,2020-07-29
939,2020-07-24
940,2020-07-24
941,2020-07-29
942,2020-07-29
943,2020-07-28
944,2020-07-27
945,2020-07-27
946,2020-07-18
947,2020-07-29
948,2020-07-28
949,2020-07-21
950,2020-07-18
951,2020-07-25
952,2020-07-29
953,2020-07-26
954,2020-07-27
955,2020-07-29
956,2020-07-29
957,2020-07-22
958,2020-07-25
959,2020-07-17
960,2020-07-25
961,2020-07-27
962,2020-07-21
963,2020-07-26
964,2020-07-26
965,2020-07-24
966,2020-07-23
967,2020-07-22
968,2020-07-25
969,2020-07-29
970,2020-07-29
971,2020-07-29
